MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandWidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandWidth;AbsError(read);RelError(read)
SSD;20971520;int;20971520;6;clock_gettime;0.293984;0.102349;204.902548;0.191635;65.185550%;0.142619;0.053422;392.560664;0.089197;62.542011%
SSD;20971520;int;20971520;7;clock_gettime;0.056009;0.102349;204.902548;0.046340;82.736857%;0.024219;0.053422;392.560664;0.029203;120.577086%
SSD;20971520;int;20971520;8;clock_gettime;0.056452;0.102349;204.902548;0.045897;81.302597%;0.028293;0.053422;392.560664;0.025130;88.819588%
SSD;20971520;int;20971520;9;clock_gettime;0.060392;0.102349;204.902548;0.041957;69.473831%;0.025982;0.053422;392.560664;0.027441;105.615294%
SSD;20971520;int;20971520;10;clock_gettime;0.070549;0.102349;204.902548;0.031800;45.074879%;0.029536;0.053422;392.560664;0.023887;80.873742%
SSD;20971520;int;20971520;11;clock_gettime;0.046358;0.102349;204.902548;0.055990;120.777187%;0.028692;0.053422;392.560664;0.024730;86.192865%
SSD;20971520;int;20971520;12;clock_gettime;0.056083;0.102349;204.902548;0.046266;82.495352%;0.026182;0.053422;392.560664;0.027240;104.039565%
SSD;20971520;int;20971520;13;clock_gettime;0.058649;0.102349;204.902548;0.043700;74.510317%;0.025018;0.053422;392.560664;0.028405;113.537875%
SSD;20971520;int;20971520;14;clock_gettime;0.461618;0.102349;204.902548;0.359269;77.828249%;0.346742;0.053422;392.560664;0.293319;84.593028%
SSD;20971520;int;20971520;15;clock_gettime;0.045156;0.102349;204.902548;0.057192;126.654188%;0.031153;0.053422;392.560664;0.022270;71.485876%
SSD;20971520;int;20971520;16;clock_gettime;0.056307;0.102349;204.902548;0.046041;81.767949%;0.024485;0.053422;392.560664;0.028938;118.188187%
SSD;20971520;int;20971520;17;clock_gettime;0.056897;0.102349;204.902548;0.045452;79.884963%;0.034196;0.053422;392.560664;0.019226;56.223170%
SSD;20971520;int;20971520;18;clock_gettime;0.066022;0.102349;204.902548;0.036326;55.021077%;0.034544;0.053422;392.560664;0.018878;54.648085%
SSD;20971520;int;20971520;19;clock_gettime;0.077310;0.102349;204.902548;0.025039;32.387343%;0.033028;0.053422;392.560664;0.020395;61.750562%
SSD;20971520;int;20971520;20;clock_gettime;0.061783;0.102349;204.902548;0.040566;65.658846%;0.026991;0.053422;392.560664;0.026432;97.929763%
flash;20971520;int;20971520;1;clock_gettime;6.659397;6.177456;3.394847;0.481941;7.237000%;4.259358;4.248292;4.936459;0.011066;0.259808%
flash;20971520;int;20971520;2;clock_gettime;6.136882;6.177456;3.394847;0.040574;0.661156%;4.222897;4.248292;4.936459;0.025394;0.601351%
flash;20971520;int;20971520;3;clock_gettime;6.190126;6.177456;3.394847;0.012670;0.204680%;4.246501;4.248292;4.936459;0.001791;0.042169%
flash;20971520;int;20971520;4;clock_gettime;5.869355;6.177456;3.394847;0.308102;5.249328%;4.249596;4.248292;4.936459;0.001304;0.030679%
flash;20971520;int;20971520;5;clock_gettime;6.003160;6.177456;3.394847;0.174296;2.903402%;4.179348;4.248292;4.936459;0.068944;1.649635%
flash;20971520;int;20971520;6;clock_gettime;6.056198;6.177456;3.394847;0.121258;2.002214%;4.223780;4.248292;4.936459;0.024512;0.580324%
flash;20971520;int;20971520;7;clock_gettime;5.902144;6.177456;3.394847;0.275312;4.664617%;4.236375;4.248292;4.936459;0.011917;0.281305%
flash;20971520;int;20971520;8;clock_gettime;6.066743;6.177456;3.394847;0.110713;1.824913%;4.206723;4.248292;4.936459;0.041569;0.988145%
